SampleID,Age,AgeSigma,Offset,OffsetSigma,SampleHeight,DistanceEdge
NCT102,29901,739,5.5,4,65,18
NCT103,23337,686,5.5,4,110,10
NCT104,25187,736,5.5,4,50,8
NCT301,89471,1995,13,2,60,68
NCT303,99185,2491,13,2,80,20
NCT305,87327,2085,13,2,60,61
NCT403,188342,4831,17.5,2,30,18
NCT404,129802,3565,17.5,2,43,19
NCT405,95510,2396,17.5,2,65,18
NCT406,164803,4207,17.5,2,40,44
NCT501,137443,3480,27.5,2,80,15
NCT502,323647,8564,27.5,2,60,43
NCT503,318377,8017,27.5,2,37,20
NCT505,90672,2022,27.5,2,40,22
NCT506,173697,4438,27.5,2,45,18
NCT507,147541,3328,27.5,2,40,26
NCFW404,194094,5556,17.5,2,30,28
NCFW405,118868,3223,17.5,2,50,12
